Rxn name	Rxn description	Formula	Gene-reaction association	Genes	Subsystem	Reversible	LB	UB
CRNDt2rpp	D carnitine outward transport H antiport 	crn-D[p] + h[p] <=> crn-D[c] + h[c] 	STM4290	STM4290	Transport Inner Membrane	1	-1000	1000
CRNt2rpp	L carnitine outward transport H antiport 	crn[p] + h[p] <=> crn[c] + h[c] 	STM4290	STM4290	Transport Inner Membrane	1	-1000	1000
CRNt7pp	Carnitinebutyrobetaine antiporter periplasm 	crn[p] + gbbtn[c] --> crn[c] + gbbtn[p] 	STM0074	STM0074	Transport Inner Membrane	0	0	1000
CRNt8pp	L carnitineD carnitine antiporter periplasm 	crn-D[c] + crn[p] --> crn-D[p] + crn[c] 	STM0074	STM0074	Transport Inner Membrane	0	0	1000
CRNtex	L carnitine transport via diffusion extracellular to periplasm 	crn[e] <=> crn[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
CS	citrate synthase	accoa[c] + h2o[c] + oaa[c] --> cit[c] + coa[c] + h[c] 	STM0730	STM0730	Citric Acid Cycle	0	0	1000
CSND	Cytosine deaminase	csn[c] + h2o[c] + h[c] --> nh4[c] + ura[c] 	STM3334	STM3334	Nucleotide Salvage Pathway	0	0	1000
CSNt2pp	cytosine transport in via proton symport periplasm 	csn[p] + h[p] --> csn[c] + h[c] 	STM3333	STM3333	Transport Inner Membrane	0	0	1000
CSNtex	cytosine transport via diffusion extracellular to periplasm 	csn[e] <=> csn[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
CTBTabcpp	crotonobetaine transport via ABC system periplasm 	atp[c] + ctbt[p] + h2o[c] --> adp[c] + ctbt[c] + h[c] + pi[c] 	( STM2809  and  STM2810  and  STM2811 )	STM2809 STM2810 STM2811	Transport Inner Membrane	0	0	1000
CTBTCAL2	Crotonobetaine CoA Ligase	atp[c] + coa[c] + ctbt[c] --> adp[c] + ctbtcoa[c] + pi[c] 	STM0071	STM0071	Oxidative Phosphorylation	0	0	1000
CTBTt2rpp	cronobetaine outward transport H antiport 	ctbt[p] + h[p] <=> ctbt[c] + h[c] 	STM4290	STM4290	Transport Inner Membrane	1	-1000	1000
CTPS2	CTP synthase glutamine 	atp[c] + gln-L[c] + h2o[c] + utp[c] --> adp[c] + ctp[c] + glu-L[c] + 2 h[c] + pi[c] 	STM2953	STM2953	Purine and Pyrimidine Biosynthesis	0	0	1000
CU1abcpp	Copper Cu 1 ABC transporter periplasm 	atp[c] + cu[c] + h2o[c] --> adp[c] + cu[p] + h[c] + pi[c] 	STM0498	STM0498	Inorganic Ion Transport and Metabolism	0	0	1000
CU1Opp	Cuprous Oxidase Cu1 	4 cu[p] + 4 h[p] + o2[p] --> 4 cu2[p] + 2 h2o[p] 	STM0168	STM0168	Inorganic Ion Transport and Metabolism	0	0	1000
CU2abcpp	Copper Cu2 ABC transporter periplasm 	atp[c] + cu2[c] + h2o[c] --> adp[c] + cu2[p] + h[c] + pi[c] 	STM3576	STM3576	Inorganic Ion Transport and Metabolism	0	0	1000
CU2tex	copper Cu2 transport via diffusion extracellular to periplasm 	cu2[e] <=> cu2[p] 	( STM2267  or  STM0320  or  STM0999  or  STM1473 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
CU2tpp	copper transport in via permease no H 	cu2[p] --> cu2[c] 	STM3190	STM3190	Inorganic Ion Transport and Metabolism	0	0	1000
CUtex	copper Cu1 transport via diffusion extracellular to periplasm 	cu[e] <=> cu[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
CYANST	Cyanide sulfurtransferase	cyan[c] + tsul[c] --> h[c] + so3[c] + tcynt[c] 	STM3525	STM3525	Unassigned	0	0	1000
CYANSTpp	Cyanide sulfurtransferase periplasmic 	cyan[p] + tsul[p] --> h[p] + so3[p] + tcynt[p] 	STM1686	STM1686	Inorganic Ion Transport and Metabolism	0	0	1000
CYANtex	Cyanide transport via diffusion extracellular to periplasm 	cyan[e] <=> cyan[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
CYNTtex	Cyanate transport via diffusion extracellular to periplasm 	cynt[e] <=> cynt[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
CYSabc2pp	L cysteine export via ABC system cytoplasm to periplasm 	atp[c] + cys-L[c] + h2o[c] --> adp[c] + cys-L[p] + h[c] + pi[c] 	( STM0956  and  STM0957 )	STM0956 STM0957	Transport Inner Membrane	0	0	1000
CYSabcpp	L cysteine uptake via ABC system periplasm 	atp[c] + cys-L[p] + h2o[c] --> adp[c] + cys-L[c] + h[c] + pi[c] 			Transport Inner Membrane	0	0	1000
CYSDS	Cysteine Desulfhydrase	cys-L[c] + h2o[c] --> h2s[c] + nh4[c] + pyr[c] 	STM3161	STM3161	Cysteine Metabolism	0	0	1000
CYSDtex	D cysteine transport via diffusion extracellular to periplasm 	cys-D[e] <=> cys-D[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
CYSIabcpp	L cystine uptake via ABC system periplasm 	atp[c] + cysi-L[p] + h2o[c] --> adp[c] + cysi-L[c] + h[c] + pi[c] 			Transport Inner Membrane	0	0	1000
CYSItex	L cystine transport via diffusion extracellular to periplasm 	cysi-L[e] <=> cysi-L[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
CYSLDS	L-cysteine desulfhydrase	cys-L[c] + h2o[c] --> h2s[c] + nh4[c] + pyr[c] 			Cysteine Metabolism	0	0	1000
CYSS	cysteine synthase	acser[c] + h2s[c] --> ac[c] + cys-L[c] + h[c] 	( STM2430  or  STM2440 )	STM2430 STM2440	Cysteine Metabolism	0	0	1000
CYSSADS	L cysteine sulfinic acid desulfurase	3sala[c] + 2 h[c] --> ala-L[c] + so2[c] 	STM2984	STM2984	Cysteine Metabolism	0	0	1000
CYStex	L cysteine transport via diffusion extracellular to periplasm 	cys-L[e] <=> cys-L[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
CYSTL	cystathionine b lyase	cyst-L[c] + h2o[c] --> hcys-L[c] + nh4[c] + pyr[c] 	( STM1464  or  STM3161 or STM1557 )	STM1464 STM1557 STM3161	Methionine Metabolism	0	0	1000
CYStpp	L cysteine export via facilitated transport	cys-L[c] --> cys-L[p] 	( STM2645  or  STM1517 )	STM1517 STM2645	Transport Inner Membrane	0	0	1000
CYSTRS	Cysteinyl tRNA synthetase	atp[c] + cys-L[c] + trnacys[c] --> amp[c] + cystrna[c] + ppi[c] 	STM0537	STM0537	tRNA Charging	0	0	1000
CYTBD2pp	cytochrome oxidase bd menaquinol 8 2 protons  periplasm 	2 h[c] + mql8[c] + 0.5 o2[c] --> h2o[c] + 2 h[p] + mqn8[c] 	( STM1792  and  STM1793 )	STM1792 STM1793	Oxidative Phosphorylation	0	0	1000
CYTBDpp	cytochrome oxidase bd ubiquinol 8 2 protons  periplasm 	2 h[c] + 0.5 o2[c] + q8h2[c] --> h2o[c] + 2 h[p] + q8[c] 	( ( STM1792  and  STM1793 )  or  ( STM0740  and  STM0741 ) )	STM0740 STM0741 STM1792 STM1793	Oxidative Phosphorylation	0	0	1000
CYTBO3_4pp	cytochrome oxidase bo3 ubiquinol 8 4 protons  periplasm 	4 h[c] + 0.5 o2[c] + q8h2[c] --> h2o[c] + 4 h[p] + q8[c] 	( STM0440  and  STM0441  and  STM0442  and  STM0443 )	STM0440 STM0441 STM0442 STM0443	Oxidative Phosphorylation	0	0	1000
CYTD	cytidine deaminase	cytd[c] + h2o[c] + h[c] --> nh4[c] + uri[c] 	STM2183	STM2183	Nucleotide Salvage Pathway	0	0	1000
CYTDH	Cytidine hydrolase	cytd[c] + h2o[c] --> csn[c] + rib-D[c] 	( STM0661  or  STM0051 )	STM0051 STM0661	Alternate Carbon Metabolism	0	0	1000
CYTDK2	cytidine kinase GTP 	cytd[c] + gtp[c] --> cmp[c] + gdp[c] + h[c] 	STM2122	STM2122	Nucleotide Salvage Pathway	0	0	1000
CYTDt2pp	cytidine transport in via proton symport periplasm 	cytd[p] + h[p] --> cytd[c] + h[c] 	( STM3113  or  STM2409 )	STM2409 STM3113	Transport Inner Membrane	0	0	1000
CYTDt2rpp	cytidine transport in via proton symport reversible periplasm 	cytd[p] + h[p] <=> cytd[c] + h[c] 	STM2421	STM2421	Transport Inner Membrane	1	-1000	1000
CYTDtex	cytidine transport via diffusion extracellular to periplasm 	cytd[e] <=> cytd[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
CYTK1	cytidylate kinase CMP 	atp[c] + cmp[c] <=> adp[c] + cdp[c] 	STM0980	STM0980	Nucleotide Salvage Pathway	1	-1000	1000
CYTK2	cytidylate kinase dCMP 	atp[c] + dcmp[c] <=> adp[c] + dcdp[c] 	STM0980	STM0980	Nucleotide Salvage Pathway	1	-1000	1000
D_LACt2pp	D lactate transport via proton symport periplasm 	h[p] + lac-D[p] <=> h[c] + lac-D[c] 	STM3692	STM3692	Transport Inner Membrane	1	-1000	1000
D_LACtex	D lactate transport via diffusion extracellular to periplasm 	lac-D[e] <=> lac-D[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
D5KGK	2-Deoxy-5-Keto-D-gluconate kinase	atp[c] + d5kg[c] --> adp[c] + h[c] + d5kgp[c] 	STM4420	STM4420	Alternate Carbon metabolism	0	0	1000
D5KGPA	2-Deoxy-5-keto-D-gluconate 6-phosphate aldolase	d5kgp[c] --> dhap[c] + msa[c] 			Alternate Carbon metabolism	0	0	1000
DAAD	D Amino acid dehydrogenase	ala-D[c] + fad[c] + h2o[c] --> fadh2[c] + nh4[c] + pyr[c] 	STM1803	STM1803	Alanine and Aspartate Metabolism	0	0	1000
DADA	Deoxyadenosine deaminase	dad-2[c] + h2o[c] + h[c] --> din[c] + nh4[c] 	STM1463	STM1463	Nucleotide Salvage Pathway	0	0	1000
DADK	deoxyadenylate kinase	atp[c] + damp[c] <=> adp[c] + dadp[c] 	STM0488	STM0488	Nucleotide Salvage Pathway	1	-1000	1000
DADNt2pp	deoxyadenosine transport in via proton symport periplasm 	dad-2[p] + h[p] --> dad-2[c] + h[c] 	( STM2409  or  STM3113 )	STM2409 STM3113	Transport Inner Membrane	0	0	1000
DADNtex	deoxyadenosine transport via diffusion extracellular to periplasm 	dad-2[e] <=> dad-2[p] 	STM0413	STM0413	Transport Outer Membrane	1	-1000	1000
DAGK120	diacylglycerol kinase n C120 	12dgr120[c] + atp[c] --> adp[c] + h[c] + pa120[c] 	STM4236	STM4236	Glycerophospholipid Metabolism	0	0	1000
DAGK140	diacylglycerol kinase n C140 	12dgr140[c] + atp[c] --> adp[c] + h[c] + pa140[c] 	STM4236	STM4236	Glycerophospholipid Metabolism	0	0	1000
DAGK141	diacylglycerol kinase n C141 	12dgr141[c] + atp[c] --> adp[c] + h[c] + pa141[c] 	STM4236	STM4236	Glycerophospholipid Metabolism	0	0	1000
DAGK160	diacylglycerol kinase n C160 	12dgr160[c] + atp[c] --> adp[c] + h[c] + pa160[c] 	STM4236	STM4236	Glycerophospholipid Metabolism	0	0	1000
DAGK161	diacylglycerol kinase n C161 	12dgr161[c] + atp[c] --> adp[c] + h[c] + pa161[c] 	STM4236	STM4236	Glycerophospholipid Metabolism	0	0	1000
DAGK180	diacylglycerol kinase n C180 	12dgr180[c] + atp[c] --> adp[c] + h[c] + pa180[c] 	STM4236	STM4236	Glycerophospholipid Metabolism	0	0	1000
DAGK181	diacylglycerol kinase n C181 	12dgr181[c] + atp[c] --> adp[c] + h[c] + pa181[c] 	STM4236	STM4236	Glycerophospholipid Metabolism	0	0	1000
DALAt2pp	D alanine transport in via proton symport periplasm 	ala-D[p] + h[p] --> ala-D[c] + h[c] 	STM4398	STM4398	Transport Inner Membrane	0	0	1000
DALAtex	D Alanine transport via diffusion extracellular to periplasm 	ala-D[e] <=> ala-D[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
DAMPtex	dAMP transport via diffusion extracellular to periplasm 	damp[e] <=> damp[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
DAPabcpp	M diaminopimelic acid ABC transport periplasm 	26dap-M[p] + atp[c] + h2o[c] --> 26dap-M[c] + adp[c] + h[c] + pi[c] 	STM1954	STM1954	Transport Inner Membrane	0	0	1000
DAPAL	2 3 diaminopropionate amonnia lyase	23dappa[c] + h2o[c] --> 2 nh4[c] + pyr[c] 	STM1002	STM1002	Alternate Carbon Metabolism	0	0	1000
DAPDC	diaminopimelate decarboxylase	26dap-M[c] + h[c] --> co2[c] + lys-L[c] 	STM3013	STM3013	Threonine and Lysine Metabolism	0	0	1000
DAPE	diaminopimelate epimerase	26dap-LL[c] <=> 26dap-M[c] 	STM3947	STM3947	Threonine and Lysine Metabolism	1	-1000	1000
DAPtex	1 5 Diaminopentane transport via diffusion extracellular to periplasm 	15dap[e] <=> 15dap[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
DASYN120	CDP diacylglycerol synthetase n C120 	ctp[c] + h[c] + pa120[c] --> cdpdddecg[c] + ppi[c] 	STM0222	STM0222	Glycerophospholipid Metabolism	0	0	1000
DASYN140	CDP diacylglycerol synthetase n C140 	ctp[c] + h[c] + pa140[c] --> cdpdtdecg[c] + ppi[c] 	STM0222	STM0222	Glycerophospholipid Metabolism	0	0	1000
DASYN141	CDP diacylglycerol synthetase n C141 	ctp[c] + h[c] + pa141[c] --> cdpdtdec7eg[c] + ppi[c] 	STM0222	STM0222	Glycerophospholipid Metabolism	0	0	1000
DASYN160	CDP diacylglycerol synthetase n C160 	ctp[c] + h[c] + pa160[c] --> cdpdhdecg[c] + ppi[c] 	STM0222	STM0222	Glycerophospholipid Metabolism	0	0	1000
DASYN161	CDP diacylglycerol synthetase n C161 	ctp[c] + h[c] + pa161[c] --> cdpdhdec9eg[c] + ppi[c] 	STM0222	STM0222	Glycerophospholipid Metabolism	0	0	1000
DASYN180	CDP diacylglycerol synthetase n C180 	ctp[c] + h[c] + pa180[c] --> cdpdodecg[c] + ppi[c] 	STM0222	STM0222	Glycerophospholipid Metabolism	0	0	1000
DASYN181	CDP diacylglycerol synthetase n C181 	ctp[c] + h[c] + pa181[c] --> cdpdodec11eg[c] + ppi[c] 	STM0222	STM0222	Glycerophospholipid Metabolism	0	0	1000
DATPHs	dATP amine hydrolysis spontaneous 	datp[c] + h2o[c] + h[c] --> ditp[c] + nh4[c] 	s0001	s0001	Nucleotide Salvage Pathway	0	0	1000
DB4PS	3 4 Dihydroxy 2 butanone 4 phosphate synthase	ru5p-D[c] --> db4p[c] + for[c] + h[c] 	STM3195	STM3195	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
DBTS	dethiobiotin synthase	atp[c] + co2[c] + dann[c] --> adp[c] + dtbt[c] + 3 h[c] + pi[c] 	( STM0797 or STM1489 )	STM0797 STM1489	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
DCAtex	Decanoate transport via diffusion extracellular to periplasm 	dca[e] <=> dca[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
DCMPtex	dCMP transport via diffusion extracellular to periplasm 	dcmp[e] <=> dcmp[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
DCTPD	dCTP deaminase	dctp[c] + h2o[c] + h[c] --> dutp[c] + nh4[c] 	STM2121	STM2121	Nucleotide Salvage Pathway	0	0	1000
DCYTD	deoxycytidine deaminase	dcyt[c] + h2o[c] + h[c] --> duri[c] + nh4[c] 	STM2183	STM2183	Nucleotide Salvage Pathway	0	0	1000
DCYTt2pp	deoxycytidine transport in via proton symport periplasm 	dcyt[p] + h[p] --> dcyt[c] + h[c] 	( STM3113  or  STM2409 )	STM2409 STM3113	Transport Inner Membrane	0	0	1000
DCYTtex	deoxycytidine transport via diffusion extracellular to periplasm 	dcyt[e] <=> dcyt[p] 	STM0413	STM0413	Transport Outer Membrane	1	-1000	1000
DDCAt2pp	Dodecanoate transport via proton symport	ddca[p] + h[p] --> ddca[c] + h[c] 	STM2393	STM2393	Transport	0	0	1000
DDCAtexi	Fatty acid dodecanoate transport via facilitated irreversible diffusion extracellular to periplasm 	ddca[e] --> ddca[p] 	STM2391	STM2391	Transport Outer Membrane	0	0	1000
DDGALK	2 dehydro 3 deoxygalactonokinase	2dh3dgal[c] + atp[c] --> 2dh3dgal6p[c] + adp[c] + h[c] 	STM3829	STM3829	Alternate Carbon Metabolism	0	0	1000
DDGLCNt2rpp	2 dehydro 3 deoxy D gluconate transport via proton symport reversible periplasm 	2ddglcn[p] + h[p] <=> 2ddglcn[c] + h[c] 	STM0161	STM0161	Transport Inner Membrane	1	-1000	1000
DDGLCNtex	2 dehydro 3 deoxy D gluconate transport via diffusion extracellular to periplasm 	2ddglcn[e] <=> 2ddglcn[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
DDGLK	2 dehydro 3 deoxygluconokinase	2ddglcn[c] + atp[c] --> 2ddg6p[c] + adp[c] + h[c] 	STM3612	STM3612	Alternate Carbon Metabolism	0	0	1000
DDPA	3 deoxy D arabino heptulosonate 7 phosphate synthetase	e4p[c] + h2o[c] + pep[c] --> 2dda7p[c] + pi[c] 	( STM2670  or  STM0760  or  STM1347 )	STM0760 STM1347 STM2670	Tyrosine Tryptophan and Phenylalanine Metabolism	0	0	1000
DDPGALA	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	2dh3dgal6p[c] <=> g3p[c] + pyr[c] 			Alternate Carbon Metabolism	1	-1000	1000
DGK1	deoxyguanylate kinase dGMPATP 	atp[c] + dgmp[c] <=> adp[c] + dgdp[c] 	STM3740	STM3740	Nucleotide Salvage Pathway	1	-1000	1000
DGMPtex	dGMP transport via diffusion extracellular to periplasm 	dgmp[e] <=> dgmp[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
DGSNt2pp	deoxyguanosine transport in via proton symport periplasm 	dgsn[p] + h[p] --> dgsn[c] + h[c] 	STM3113	STM3113	Transport Inner Membrane	0	0	1000
DGSNtex	deoxyguanosine transport via diffusion extracellular to periplasm 	dgsn[e] <=> dgsn[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
DHAD1	dihydroxy acid dehydratase 2 3 dihydroxy 3 methylbutanoate 	23dhmb[c] --> 3mob[c] + h2o[c] 	STM3904	STM3904	Valine Leucine and Isoleucine Metabolism	0	0	1000
DHAD2	Dihydroxy acid dehydratase 2 3 dihydroxy 3 methylpentanoate 	23dhmp[c] --> 3mop[c] + h2o[c] 	STM3904	STM3904	Valine Leucine and Isoleucine Metabolism	0	0	1000
DHAtex	Dihydroxyacetone transport via diffusion extracellular to periplasm 	dha[e] <=> dha[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
DHAtpp	Dihydroxyacetone transport via facilitated diffusion periplasm 	dha[p] <=> dha[c] 			Transport Inner Membrane	1	-1000	1000
DHBD	2 3 dihydro 2 3 dihydroxybenzoate dehydrogenase	23ddhb[c] + nad[c] --> 23dhb[c] + h[c] + nadh[c] 	STM0598	STM0598	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
DHBS	2 3 dihydroxybenzoate adenylate synthase	23dhb[c] + atp[c] + h[c] --> 23dhba[c] + ppi[c] 	STM0596	STM0596	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
DHBSH	2 3 dihydroxybenzoylserine hydrolase	23dhbzs[c] + h2o[c] --> 23dhb[c] + h[c] + ser-L[c] 			Cofactor and Prosthetic Group Biosynthesis	0	0	1000
DHBSZ3FEabcpp	23dhbsz3 Fe III transport via ABC system periplasm	atp[c] + h2o[c] + fe3dhbzs3[p] --> adp[c] + h[c] + pi[c] + fe3dhbzs3[c] 			Inorganic Ion Transport and Metabolism	0	0	1000
DHBSZ3FEexs	23dhbsz3 Fe III sequestration	fe3[e] + 23dhbzs3[e] --> fe3dhbzs3[e] 	s0001	s0001	Inorganic Ion Transport and Metabolism	0	0	1000
DHBSZ3FEtonex	23dhbsz3  Fe III import	h[p] + fe3dhbzs3[e] --> h[c] + fe3dhbzs3[p] 	(STM2199 or STM0585 or STM2777) and (STM1737 and STM3159 and STM3158)	STM0585 STM1737 STM2199 STM2777 STM3158 STM3159	Inorganic Ion Transport and Metabolism	0	0	1000
DHBSZ3tex	23dhbsz secretion	23dhbzs3[p] --> 23dhbzs3[e] 			Inorganic Ion Transport and Metabolism	0	0	1000
DHBZS2H	23DHBS polymer hydrolase	h2o[c] + 23dhbzs2[c] --> 2 23dhbzs[c] 	STM2775 or STM0586	STM0586 STM2775	Inorganic Ion Transport and Metabolism	0	0	1000
DHBZS3H	23DHBS polymer hydrolase	h2o[c] + 23dhbzs3[c] --> 23dhbzs[c] + 23dhbzs2[c] 	STM2775 or STM0586	STM0586 STM2775	Inorganic Ion Transport and Metabolism	0	0	1000
DHDPRy	dihydrodipicolinate reductase NADPH 	23dhdp[c] + h[c] + nadph[c] --> nadp[c] + thdp[c] 	STM0064	STM0064	Threonine and Lysine Metabolism	0	0	1000
DHDPS	dihydrodipicolinate synthase	aspsa[c] + pyr[c] --> 23dhdp[c] + 2 h2o[c] + h[c] 	STM2489	STM2489	Threonine and Lysine Metabolism	0	0	1000
DHEDAA	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	24dhhed[c] --> pyr[c] + sucsal[c] 	(STM1106 and STM2289)	STM1106 STM2289	Alternate Carbon metabolism	0	0	1000
DHFR	dihydrofolate reductase	dhf[c] + h[c] + nadph[c] <=> nadp[c] + thf[c] 	STM0087	STM0087	Cofactor and Prosthetic Group Biosynthesis	1	-1000	1000
DHFS	dihydrofolate synthase	atp[c] + dhpt[c] + glu-L[c] --> adp[c] + dhf[c] + h[c] + pi[c] 	STM2365	STM2365	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
DHNAOT4	1 4 dihydroxy 2 naphthoate octaprenyltransferase	dhna[c] + h[c] + octdp[c] --> 2dmmql8[c] + co2[c] + ppi[c] 	STM4090	STM4090	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
DHNPA2	dihydroneopterin aldolase	dhnpt[c] --> 6hmhpt[c] + gcald[c] 	STM3206	STM3206	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
DHORD2	dihydoorotic acid dehydrogenase quinone8 	dhor-S[c] + q8[c] --> orot[c] + q8h2[c] 	STM1058	STM1058	Purine and Pyrimidine Biosynthesis	0	0	1000
DHORD5	dihydroorotic acid menaquinone 8 	dhor-S[c] + mqn8[c] --> mql8[c] + orot[c] 	STM1058	STM1058	Purine and Pyrimidine Biosynthesis	0	0	1000
DHORTS	dihydroorotase	dhor-S[c] + h2o[c] <=> cbasp[c] + h[c] 	STM1163	STM1163	Purine and Pyrimidine Biosynthesis	1	-1000	1000
DHPPDA2	diaminohydroxyphosphoribosylaminopryrimidine deaminase 25drapp 	25drapp[c] + h2o[c] + h[c] --> 5apru[c] + nh4[c] 	STM0416	STM0416	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
DHPS2	dihydropteroate synthase	4abz[c] + 6hmhptpp[c] --> dhpt[c] + ppi[c] 	STM3295	STM3295	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
DHPTDCs	4 5 dihydroxy 2 3 pentanedione cyclization spontaneous 	dhptd[c] --> h2o[c] + hmfurn[c] 	s0001	s0001	Methionine Metabolism	0	0	1000
DHQS	3 dehydroquinate synthase	2dda7p[c] --> 3dhq[c] + pi[c] 	STM3486	STM3486	Tyrosine Tryptophan and Phenylalanine Metabolism	0	0	1000
DHQTi	3 dehydroquinate dehydratase irreversible	3dhq[c] --> 3dhsk[c] + h2o[c] 	STM1358	STM1358	Tyrosine Tryptophan and Phenylalanine Metabolism	0	0	1000
DIMPtex	dIMP transport via diffusion extracellular to periplasm 	dimp[e] <=> dimp[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
DINSt2pp	deoxyinosine transport in via proton symport periplasm 	din[p] + h[p] --> din[c] + h[c] 	STM3113	STM3113	Transport Inner Membrane	0	0	1000
DINStex	deoxyinosine transport via diffusion extracellular to periplasm 	din[e] <=> din[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
DKDID	D-2,3-Diketo 4-deoxy-epi-inositol dehydratase	h2o[c] + dkdi[c] --> h[c] + d5kg[c] 			Exchange	0	0	1000
DKGLCNR1	2 5 diketo D gluconate reductase	25dkglcn[c] + h[c] + nadph[c] --> 2dhguln[c] + nadp[c] 	( STM3165  or  STM0255 )	STM0255 STM3165	Alternate Carbon Metabolism	0	0	1000
DKGLCNR2x	2 5 diketo D gluconate reductase NADH 	25dkglcn[c] + h[c] + nadh[c] --> 5dglcn[c] + nad[c] 	STM3646	STM3646	Alternate Carbon Metabolism	0	0	1000
DKGLCNR2y	2 5 diketo D gluconate reductase NADPH 	25dkglcn[c] + h[c] + nadph[c] --> 5dglcn[c] + nadp[c] 	STM3646	STM3646	Alternate Carbon Metabolism	0	0	1000
DKMPPD	2 3 diketo 5 methylthio 1 phosphopentane degradation reaction	dkmpp[c] + h2o[c] + o2[c] --> 2kmb[c] + for[c] + 2 h[c] + pi[c] 			Arginine and Proline Metabolism	0	0	1000
DKMPPD3	2 3 diketo 5 methylthio 1 phosphopentane degradation reaction	dkmpp[c] + 3 h2o[c] + 2 nad[c] --> 2kmb[c] + for[c] + 4 h[c] + 2 nadh[c] + pi[c] 			Arginine and Proline Metabolism	0	0	1000
DM_4HBA	Sink needed to allow 4 hydroxy benzoate to leave system	4hba[c] --> 			Exchange	0	0	1000
DM_5DRIB	Sink needed to allow 5 deoxyribose to leave system	5drib[c] --> 			Exchange	0	0	1000
DM_HMFURN	Sink needed to allow 4 hydroxy 5 methyl 3 2H furanone to leave system	hmfurn[c] --> 			Exchange	0	0	1000
DM_OXAM	Sink needed to allow oxamate to leave system	oxam[c] --> 			Exchange	0	0	1000
DMATT	dimethylallyltranstransferase	dmpp[c] + ipdp[c] --> grdp[c] + ppi[c] 	STM0423	STM0423	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
